run,best_treatment_frac,price,unit_cost,contact_cost,optimized_profit,baseline_profit,profit_increase,optimized_revenue,baseline_revenue,revenue_increase,optimized_conversions,baseline_conversions,conversions_increase,profit_increase_pct,revenue_increase_pct,conversions_increase_pct
25,0.03,213.6125531882699,40.4121331624943,1.1704815294242592,90106.93781131148,57768.91132757903,32338.02648373245,119792.7252747039,79909.40165902238,39883.323615681526,560.7944078507558,374.08570079958406,186.7087070511717,55.97825152071749,49.91067732663769,49.91067732663769
26,0.0,110.64910056395938,31.428476343390543,8.112039919359294,29011.78609610846,29011.78609610846,0.0,40521.367622030244,40521.367622030244,0.0,366.2150656037855,366.2150656037855,0.0,0.0,0.0,0.0
27,0.0,160.2657874214301,96.38506571445204,8.139605713764958,23394.082690738134,23394.082690738134,0.0,58691.745854581364,58691.745854581364,0.0,366.2150656037855,366.2150656037855,0.0,0.0,0.0,0.0
28,0.01,133.1496350592127,83.1496840151215,2.420188578938595,20849.023005509884,13601.53531874601,7247.487686763874,68410.75211511219,49110.72640633127,19300.025708780922,513.7885063274067,368.8386106690517,144.949895658355,53.28433531158198,39.29900272518225,39.299002725182255
29,0.0,64.08817316409488,13.42777356307781,8.807132531859178,18552.601563400458,18552.601563400458,0.0,23470.054539715773,23470.054539715773,0.0,366.2150656037855,366.2150656037855,0.0,0.0,0.0,0.0
30,0.01,143.13790144524972,25.700360219572822,6.262014913688681,47814.02906572641,30791.46971869079,17022.55934703562,73542.6085823944,52794.784703149555,20747.823879244846,513.7885063274067,368.8386106690517,144.949895658355,55.28336095208448,39.299002725182255,39.299002725182255
31,0.0,87.41617848837032,48.689045893885904,5.630797169101353,14182.459403735611,14182.459403735611,0.0,32013.12153995076,32013.12153995076,0.0,366.2150656037855,366.2150656037855,0.0,0.0,0.0,0.0
32,0.0,128.58382069736683,36.06206141533052,7.748249820867217,33882.86214524858,33882.86214524858,0.0,47089.33233227159,47089.33233227159,0.0,366.2150656037855,366.2150656037855,0.0,0.0,0.0,0.0
33,0.01,125.12626989961028,17.34898140260813,1.8570678743859261,51660.59632412087,36038.289602139994,15622.306721980873,64288.43931404071,46151.399547973044,18137.039766067668,513.7885063274067,368.8386106690517,144.949895658355,43.349190248621575,39.299002725182234,39.299002725182255
34,0.0,233.1415796189126,128.11548979198892,8.54663203882362,38462.13637607593,38462.13637607593,0.0,85379.95887511026,85379.95887511026,0.0,366.2150656037855,366.2150656037855,0.0,0.0,0.0,0.0
35,0.0,107.85659306271353,78.70728282971403,9.455635395606638,10674.91655928301,10674.91655928301,0.0,39498.70930426243,39498.70930426243,0.0,366.2150656037855,366.2150656037855,0.0,0.0,0.0,0.0
36,0.01,189.0402340486192,68.41699527869253,3.6307779612193287,54713.277753536095,37228.95187986238,17484.32587367371,97126.69948762342,69725.33728704507,27401.362200578355,513.7885063274067,368.8386106690517,144.949895658355,46.96432478167941,39.29900272518225,39.299002725182255
37,0.0,77.35037318762987,53.336450194098006,5.741427333086527,8794.260384480523,8794.260384480523,0.0,28326.871991385164,28326.871991385164,0.0,366.2150656037855,366.2150656037855,0.0,0.0,0.0,0.0
38,0.0,96.42540566314145,29.06692745778245,7.161025042831803,24667.689514946702,24667.689514946702,0.0,35312.436260798975,35312.436260798975,0.0,366.2150656037855,366.2150656037855,0.0,0.0,0.0,0.0
39,0.0,91.8191009290617,60.42402221534156,9.222974593104915,11497.350810781034,11497.350810781034,0.0,33625.53807041694,33625.53807041694,0.0,366.2150656037855,366.2150656037855,0.0,0.0,0.0,0.0
40,0.01,189.50333207116861,66.17209517076348,7.714051668078096,47938.06865441451,30061.21873428492,17876.849920129585,97364.63392891227,69896.14571828578,27468.488210626485,513.7885063274067,368.8386106690517,144.949895658355,59.46814757626902,39.29900272518225,39.299002725182255
41,0.01,165.13763440429238,83.9871318642756,1.4711096931087244,38751.9761015362,26989.219225737692,11762.75687579851,84845.81851902275,60909.135642853,23936.682876169754,513.7885063274067,368.8386106690517,144.949895658355,43.58316844001626,39.299002725182255,39.299002725182255
42,0.01,134.84533239070973,13.792466091309834,6.180894421311968,49833.782519996,32287.18218075319,17546.60033924281,69281.98191424542,49736.16505419585,19545.81686004957,513.7885063274067,368.8386106690517,144.949895658355,54.34540630090218,39.299002725182255,39.299002725182255
43,0.01,119.37501821990136,21.494191370665142,1.6891341288093438,46911.775567341916,32723.95992859161,14187.815638750308,61333.51230401008,44030.11586882115,17303.39643518893,513.7885063274067,368.8386106690517,144.949895658355,43.35604758626451,39.299002725182255,39.299002725182255
44,0.0,165.77602299198816,29.504238220462895,11.138881361333167,49904.78060004906,49904.78060004906,0.0,60709.67713554559,60709.67713554559,0.0,366.2150656037855,366.2150656037855,0.0,0.0,0.0,0.0
45,0.01,164.5910051460711,49.350039292059165,7.295528152036293,44618.42740978788,27914.2614336808,16704.16597610708,84564.96668892638,60707.517666699605,23857.44902222677,513.7885063274067,368.8386106690517,144.949895658355,59.840974176562526,39.29900272518225,39.299002725182255
